variable,variable_label_fr,code,label_fr,label_en,label_pt
AGEREV,Âge en années révolues détaillé,024,24 ans,,
AGEREV,Âge en années révolues détaillé,025,25 ans,,
AGEREV,Âge en années révolues détaillé,026,26 ans,,
AGEREV,Âge en années révolues détaillé,027,27 ans,,
AGEREV,Âge en années révolues détaillé,028,28 ans,,
AGEREV,Âge en années révolues détaillé,029,29 ans,,
AGEREV,Âge en années révolues détaillé,030,30 ans,,
AGEREV,Âge en années révolues détaillé,031,31 ans,,
AGEREV,Âge en années révolues détaillé,032,32 ans,,
AGEREV,Âge en années révolues détaillé,033,33 ans,,
AGEREV,Âge en années révolues détaillé,034,34 ans,,
AGEREV,Âge en années révolues détaillé,035,35 ans,,
AGEREV,Âge en années révolues détaillé,036,36 ans,,
AGEREV,Âge en années révolues détaillé,037,37 ans,,
AGEREV,Âge en années révolues détaillé,038,38 ans,,
AGEREV,Âge en années révolues détaillé,039,39 ans,,
AGEREV,Âge en années révolues détaillé,040,40 ans,,
AGEREV,Âge en années révolues détaillé,041,41 ans,,
AGEREV,Âge en années révolues détaillé,042,42 ans,,
AGEREV,Âge en années révolues détaillé,043,43 ans,,
AGEREV,Âge en années révolues détaillé,044,44 ans,,
AGEREV,Âge en années révolues détaillé,045,45 ans,,
AGEREV,Âge en années révolues détaillé,046,46 ans,,
AGEREV,Âge en années révolues détaillé,047,47 ans,,
AGEREV,Âge en années révolues détaillé,048,48 ans,,
AGEREV,Âge en années révolues détaillé,049,49 ans,,
AGEREV,Âge en années révolues détaillé,050,50 ans,,
AGEREV,Âge en années révolues détaillé,051,51 ans,,
AGEREV,Âge en années révolues détaillé,052,52 ans,,
AGEREV,Âge en années révolues détaillé,053,53 ans,,
AGEREV,Âge en années révolues détaillé,054,54 ans,,
AGEREV,Âge en années révolues détaillé,055,55 ans,,
AGEREV,Âge en années révolues détaillé,056,56 ans,,
AGEREV,Âge en années révolues détaillé,057,57 ans,,
AGEREV,Âge en années révolues détaillé,058,58 ans,,
AGEREV,Âge en années révolues détaillé,059,59 ans,,
AGEREV,Âge en années révolues détaillé,060,60 ans,,
AGEREV,Âge en années révolues détaillé,061,61 ans,,
AGEREV,Âge en années révolues détaillé,062,62 ans,,
AGEREV,Âge en années révolues détaillé,063,63 ans,,
AGEREV,Âge en années révolues détaillé,064,64 ans,,
AGEREV,Âge en années révolues détaillé,065,65 ans,,
AGEREV,Âge en années révolues détaillé,066,66 ans,,
AGEREV,Âge en années révolues détaillé,067,67 ans,,
AGEREV,Âge en années révolues détaillé,068,68 ans,,
AGEREV,Âge en années révolues détaillé,069,69 ans,,
AGEREV,Âge en années révolues détaillé,070,70 ans,,
AGEREV,Âge en années révolues détaillé,071,71 ans,,
AGEREV,Âge en années révolues détaillé,072,72 ans,,
AGEREV,Âge en années révolues détaillé,073,73 ans,,
AGEREV,Âge en années révolues détaillé,074,74 ans,,
AGEREV,Âge en années révolues détaillé,075,75 ans,,
AGEREV,Âge en années révolues détaillé,076,76 ans,,
AGEREV,Âge en années révolues détaillé,077,77 ans,,
AGEREV,Âge en années révolues détaillé,078,78 ans,,
AGEREV,Âge en années révolues détaillé,079,79 ans,,
AGEREV,Âge en années révolues détaillé,080,80 ans,,
AGEREV,Âge en années révolues détaillé,081,81 ans,,
AGEREV,Âge en années révolues détaillé,082,82 ans,,
AGEREV,Âge en années révolues détaillé,083,83 ans,,
AGEREV,Âge en années révolues détaillé,084,84 ans,,
AGEREV,Âge en années révolues détaillé,085,85 ans,,
AGEREV,Âge en années révolues détaillé,086,86 ans,,
