COD_NA5,Desc_lbl_fr,Desc_lbl_en,Desc_lbl_pt
AZ,"Agriculture, sylviculture et pêche",,
BE,"Industrie manufacturière, industries extractives  et autres",,
FZ,Construction,,
GU,"Commerce, transports et services divers",,
OQ,"Administration publique, enseignement, santé humaine et action sociale",,
