COD_NA10,Desc_lbl_fr,Desc_lbl_en,Desc_lbl_pt
AZ,"Agriculture, sylviculture et pêche",,
BE,"Industries manufacturières, industries extractives et autres",,
FZ,Construction,,
GI,"Commerce de gros et de détail, transports, hébergement et restauration",,
JZ,Information et communication,,
KZ,Activités financières et d'assurance,,
LZ,Activités immobilières,,
MN,"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",,
OQ,"Administration publique, enseignement, santé humaine et action sociale",,
RU,Autres activités de services,,
